package	source	bytes	note
@shikijs/types@4.3.1	ok:npmmirror	9017	
@tailwindcss/oxide-android-arm64@4.3.3	ok:npmmirror	1179884	
@tailwindcss/oxide-darwin-arm64@4.3.3	ok:npmmirror	1220732	
@tailwindcss/oxide-darwin-x64@4.3.3	ok:npmmirror	1192178	
@tailwindcss/oxide-freebsd-x64@4.3.3	ok:npmmirror	1242862	
@tailwindcss/oxide-linux-arm-gnueabihf@4.3.3	ok:npmmirror	1142922	
@tailwindcss/oxide-linux-arm64-gnu@4.3.3	ok:npmmirror	1173794	
@tailwindcss/oxide-linux-arm64-musl@4.3.3	ok:npmmirror	1181541	
@tailwindcss/oxide-linux-x64-gnu@4.3.3	ok:npmmirror	1261862	
@tailwindcss/oxide-linux-x64-musl@4.3.3	ok:npmmirror	1264267	
@tailwindcss/oxide-wasm32-wasi@4.3.3	ok:npmmirror	1829808	
@tailwindcss/oxide-win32-arm64-msvc@4.3.3	ok:npmmirror	1175634	
@tanstack/query-core@5.101.2	ok:npmmirror	312253	
@tanstack/react-query@5.101.2	ok:npmmirror	92027	
@tanstack/react-virtual@3.14.6	ok:npmmirror	8508	
@tanstack/virtual-core@3.17.4	ok:npmmirror	96763	
@tauri-apps/cli-darwin-arm64@2.11.4	ok:npmmirror	7902237	
@tauri-apps/cli-darwin-x64@2.11.4	ok:npmmirror	8209507	
@tauri-apps/cli-linux-arm-gnueabihf@2.11.4	ok:npmmirror	8353316	
@tauri-apps/cli-linux-arm64-gnu@2.11.4	ok:npmmirror	8219048	
@tauri-apps/cli-linux-arm64-musl@2.11.4	ok:npmmirror	8220872	
@tauri-apps/cli-linux-riscv64-gnu@2.11.4	ok:npmmirror	8359622	
@tauri-apps/cli-linux-x64-gnu@2.11.4	ok:npmmirror	8677404	
@tauri-apps/cli-linux-x64-musl@2.11.4	ok:npmmirror	8652989	
@tauri-apps/cli-win32-arm64-msvc@2.11.4	ok:npmmirror	7275788	
@tauri-apps/cli-win32-ia32-msvc@2.11.4	ok:npmmirror	7318138	
@tauri-apps/cli-win32-x64-msvc@2.11.4	ok:npmmirror	7619200	
@tauri-apps/cli@2.11.4	ok:npmmirror	85772	
@types/babel__core@7.20.5	ok:npmmirror	9704	
@types/babel__generator@7.27.0	ok:npmmirror	4068	
@types/babel__template@7.4.4	ok:npmmirror	2677	
@types/babel__traverse@7.28.0	ok:npmmirror	15915	
@types/d3-random@3.0.4	ok:npmmirror	3692	
@types/esrecurse@4.3.1	ok:npmmirror	2028	
@types/gensync@1.0.5	ok:npmmirror	3089	
@types/hast@3.0.5	ok:npmmirror	7146	
@types/jsesc@2.5.1	ok:npmmirror	2892	
@types/plist@3.0.5	ok:npmmirror	1839	
@types/proxy-from-env@1.0.4	ok:npmmirror	1760	
@typescript-eslint/eslint-plugin@8.64.0	ok:npmmirror	346054	
@typescript-eslint/parser@8.64.0	ok:npmmirror	4485	
@typescript-eslint/project-service@8.64.0	ok:npmmirror	5105	
@typescript-eslint/scope-manager@8.64.0	ok:npmmirror	66153	
@typescript-eslint/tsconfig-utils@8.64.0	ok:npmmirror	3626	
@typescript-eslint/type-utils@8.64.0	ok:npmmirror	17384	
@typescript-eslint/types@8.64.0	ok:npmmirror	19942	
@typescript-eslint/typescript-estree@8.64.0	ok:npmmirror	74296	
@typescript-eslint/utils@8.64.0	ok:npmmirror	43730	
@typescript-eslint/visitor-keys@8.64.0	ok:npmmirror	4266	
